input,output
How does the document describe Mortgagees?,"ndbook 4000.1 1570 Last Revised : 10/31 /2023 ii. Record Retention Period The Mortgagee must retain this documentation for at least seven years after the final claim or latest supplemental claim settlement date: The final settlement date is the date of the last acknowledgement or payment received by the Mortgagee in response to the submission of a claim. In certain cases, the acknowledgement may be in the form of a bill. The supplemental settlement date is the date of the final payment or acknowledgement of such supplemental claim. In certain cases, the acknowledgement may be in the form of a bill. iii. Electronic Storage The Mortgagee may use electronic storage methods for all required servicing and claim - related documents where retention of a hard copy or original document is not required. iv. HUD Requests for Information The Mortgagee must make available to HUD electronic copies of identified claim files within 24 hours of a request, or as otherwise requested by HUD. HUD may charge a fee for the review of a Claim Review File that is not provided to HUD when requested. v. Missing Claim Files If the Mortgagee is unable to produce the Claim Review File at HUDs request during the record retention period, HUD may consider all amounts for expenses and interest to have been paid in error. 2. Claim Types Mortgagees may submit the following claim types for Single Family forward Mortgages. a. Claim Type 01 - Conveyances (11/07/2023 ) [Updates in this section must be implemented wh"
What are the key points mentioned about Mortgage?,their ability to sustain their Mortgage but who do not meet the requirements of a Streamlined DIL Option. (ii) Standard DIL Standard The Mortgagee must ensure that: all Borrowers and the Property meet the requirements for a Standard PFS ; and Borrowers have attempted to complete a PFS Option. (d) DIL Exceptions for Borrowers with More than One FHA -Insured Mortgage The Mortgagee must submit a request for NSC approval via EVARS for approval to offer a DIL Option to a Borrower who owns more than one FHA - insured Property. III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 2. Default Servicing Handbook 4000.1 1259 Last Revised: 10/31 /2023 (e) Exceptions for Non -Occupant Borrower s in Standard DIL Transactions HUD authorizes Mortgagees to offer Standard DIL to Non -Occupant Borrower s when the following can be demonstrated: Need to vacate: the non -occupancy was related to the cause of Default; or Not purchased/used as rental: the subject Property was not purchased as a rental or used as a rental for more than 18 months prior to the offering of the DIL Option. The Mortgagee must submit a variance request to use the DIL Option to NSC via EVARS when the Property is owned by a corporation or partnership. (3) Condition of Title The Borrower or Mortgagee must be able to convey a clear and marketable title to the Secretary. The Mortgagee must obtain a title search or preliminary report and determine whether the title is impaired by: unresolvabl
What are the key points mentioned about porcentaje?,agreement acuerdo; contrato agreement of sale acuerdo; contrato de compraventa contrato de venta aid and attendance ayuda y asistencia alimony pension alimenticia pensio n; manutencio n alimenticia conyugal allocate asignar allowable debt payments pagos de deuda permitidos America Estados Unidos de America; EE.UU. Estados Unidos American Dream (of homeownership) el sueno americano de la casa propia el sueno americanoAmerican(s) habitante(s) de los Estados Unidos de America; estadounidense(s) Americanos(as) amendment enmienda amortization amortizacion amortization schedule programa de amortizacion tabla de amortizacion amortize amortizar amount cantidad; monto annual percentage rate (APR) tasa de porcentaje anual costo real del prestamo annuity anualidad applicable law ley aplicable apply solicitar (un prestamo); aplicar (un pago) pedir un prestamo appraisal tasacion; avaluo valuacion; evaluacio n appraisal contingency contingencia de tasacion tasacion; evaluo; evaluacion 4 english | formal spanish | colloquial spanishAPPRAISAL REPORT appraisal report informe de tasacion reporte de valuacion; evaluacion appraiser tasador valorador; evaluador; perito evaluador appreciate apreciar (en valor) aumentarden valor; aumento de valor appreciation apreciacion plusvali a appurtenances pertenencias arbitration arbitraje; mediacion area area zona ARM hipoteca con tasa de interes ajustable prestamo de interes variable asking price precio assent to decree orden judicial consensuada assessed
What does the document say about following?,"the Property; correct physical deficiencies or conditions affecting structural integrity. 2. Certain Section 203(k) Rehabilitation Mortgages depending on scope of work. 3. Under Construction, 90% or more complete with only minor finish work remaining (buyer preference items e.g., floor coverings, appliances, fixtures, landscaping, etc.). This eliminates the need for plans and specifications. Subject to the following repairs or alterations Required inspection(s) to meet HUDs Minimum Property Requirements and Minimum Property Standards .as noted by the Appraiser. Subject to the following required inspection When New Construction is less than 90 percent complete at the time of the appraisal, the Appraiser must document the floor plan, plot plan, and exhibits necessary to determine the size and level of finish. When New Construction is 90 percent or more complete, the Appraiser must document a list of components to be installed or completed after the date of appraisal. iii. Valuation Development (A) Standard There are three valuation approaches as applied to one -to four -residential unit Properties: sales comparison approach; II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT D. Appraiser and Property Requirements for Title II Forward and Reverse Mortgages 4. Valuation and Reporting Protocols Handbook 4000.1 845 Last Revised: 10/31 /2023 cost approach; and income approach to value. (B) Required Analysis and Reporting The Appraiser must obtain credible and verifiable data to suppo"
Can you explain situation based on the text?,"lities, landscaping, and other maintenance tasks. CAM costs are usually prorated among all tenants. Common Areas The land and improvements in a condominium or cooperative that all residents use and own as tenants in common, such as the parking lot, hallways, and recreational facilities. Common Interest Ownership A situation where individual ownership (fee simple) and group ownership (tenants in common) are present in the same community subject to an owners association. Common Law Law that has developed over many years through court decisions and other precedents. Community Property In some states, property acquired during marriage that is owned jointly by the married couple. Comparables Recently sold properties with similar characteristics (size, room count, design, utility, etc.) that are in close proximity to the property being val ued. Also called Comps. A B C D E F G H I J K L M N O P Q R S T U V W X Y Z ColibriRealEstate.com Revision - Jan. 2023 Copyright 202 3, Colibri Real Estate Comparative Unit Method A method for determining the replacement cost of a building based on the cost of recently built comparable buildings. Compensation Valuable consideration given by one person or entity to another person or entity in exchange for the performance of some acti vity or service. Compensatory Damages An award of damages intended to compensate a plaintiff for harm caused by the defendants act or failure to act, including personal injuries, property damage, and financial loss."
What information is provided about Modification?,"than 360 months if (i) requested by the Borrower and (ii) a term that is less than 360 does not result in the modified P&I being greater than current P&I. A Borrower can only receive one Permanent Loss Mitigation Home Retention Option for a PDMDA per disaster. To allow adequate time to complete the Disaster Loan Modification , obtain all required signatures and provide adequate notice to the Borrower of the new payment, Mortgagees may include an additional month in the total outstanding debt to be resolved. The Mortgagee must not provide the Borrower with any cash from the Dis aster Loan Modification. (E) Disaster Standalone Partial Claim The Mortgagee must evaluate Borrowers for a Disaster Standalone Partial Claim at the end of the Forbearance period if the Borrower does not qualify for a Disaster Loan Modification . Use of the Disaster Standalone Partial Claim requires that each criterion below be met: The Mortgage was current or less than 30 Days past due as of the date of the applicable disaster declaration. The Mortgagee confirms Borrower income is equal to or greater than it was prior to the Disaster using a recent pay stub for income, IRS Form W-2, bank statement , or other documentation reflecting the amount of income. As an alternative to providing income documentation, the Borrower can complete a three -month TPP, which will confirm that their income has returned to pre -disaster levels. The TPP does not have to be signed by the Borrower. The Property is owner -occu"
How does the document describe Definition?,"rtgagee may charge an origination fee in accordance with RESPA. (2) Discount Points The Mortgagee may charge the Borrower Discount Points . (3) Lock -in and Rate Lock Fees The Mortgagee may charge the Borrower lock-in and rate lock fees only if the Mortgagee provides a lock -in or commitment agreement guaranteeing the interest rate and/ or Discount Points for a period of not less than 15 Days prior to the anticipated closing. (C) Qualified Mortgage The Mortgagee must ensure the points and fees charged are in compliance with FHA s Qualified Mortgage Rule . (D) Tiered Pricing The Mortgagee must ensure that the aggregate fees and charges do not violate the following Tiered P ricing rule. (1) Definition s for Tiered Pricing Area refers to a Metropolitan Statistical Area (MSA) as established by the Office of Management and Budget. Mortgage Charge refers to the in terest rate, Discount Points, origination fee, and any other amount charged to the Borrower for an insured Mortgage . Mortgage Charge Rate refers to the total amount of Mortgage Charges for a Mortgage expressed as a percentage of the initial principal of the Mortgage . Tiered Pricing refers to any variance in Mortgage Charge Rates of more than two percentage points from the Mortgagee s reasonable and customary rate for insured Mortgage s for dwellings located within the area. (2) Required Documentation The Mortgagee must document that any variation in the Mortgage Charge Rate is based on actual variations in fees or costs"
What are the key points mentioned about situation?,". ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 5. Manual Underwriting of the Borrower Handbook 4000.1 290 Last Revised: 10/31 /2023 (2) Standard: Chapter 13 A Chapter 13 bankruptcy does not disqualify a Borrower from obtaining an FHA - insured Mortgage , if at the time of case number assignment at least 12 months of the payout period under the bankruptcy has elapsed . The Mortgagee must determine that during this time , the Borrower s payment performance has been satisfactory and all required payments have been made on time; and the Borrower has received written permission from bankruptcy court to enter into the mortgage transaction. (3) Required Documentation If the credit report does not verify the discharge date or additional documentation is necessary to determine if a ny liabilit ies were discharged in the bankruptcy , the Mortgagee must obtain the bankruptcy and discharge documents. The Mortgagee must also document that the Borrower s current situation indicates that the events which led to the bankruptcy are not likely to recur. (I) Foreclosure and Deed -in-Lieu of Foreclosure (Manual) (1) Definition A Deed -in-Lieu (DIL) of Foreclosure is a loss mitigation home disposition option in which a Borrower voluntarily offers the deed to the Note holder in exchange for a release from all obligations under the Mortgage. (2) Standard A Borrower is generally not eligible for a new FHA -insured Mortgage if the Borrower had a"
What information is provided about service?,"individuals authorized by the Title II Mortgagee to sign indemnification agreements. c. Compliance with Law (09/14/2015) The Mortgagee must ensure that its operations are compliant with all applicable federal, state, and local laws. I. DOING BUSINESS WITH FHA A. FHA Lenders and Mortgagees (09/20/2021) 6. Post-approval Operations Handbook 4000.1 51 Last Revised: 10/31 /2023 d. Servicing of FHA -Insured Title II Mortgages and Title I Loans ( 05/09/2022 ) i. Title II Mortgages The servicing of FHA -insured Title II Mortgages must be performed by an FHA - approved Mortgagee with Title II program approval and approval to service Title II Mortgages . FHA -approved Mortgagees that use a subservicer to service FHA -insured Title II Mortgages must ensure the subservicer is also approved by FHA to service FHA - insured Title II Mortgages. The servicing Title II Mortgagee is responsible for the actions of its subservicers. ii. Title I Loans Held by Supervised, Nonsupervised , and Government Title I Lender s An Agent is not required to be approved as a Title I Lender to service Title I Loans that are held by the Supervised, Nonsupervised, or Government Title I Lender. The Title I Lender holding the Title I Loans is responsible for ensuring the Loans are serviced by the agent in accordance with HUD/FHA requirements. iii. Title I Loans Held by Title I Investing Lenders A Title I Investing Lender may not directly service Title I Loans it holds except with the prior approval of the Departmen"
How does the document describe Combined?,"e payoff statement on all existing Mortgage s. (c) Maximum Combined Loan -to-Value Ratio The maximum CLTV ratio for a Rate and Term refinance is 97.75 percent. For open -end line of credit , the Mortgagee must utilize the maximum accessible credit limit of the subordinate lien to calculate the CLTV ratio. (3) Refinance of HOPE for Homeowners Mortgages If the Mortgage being refinanced is a HOPE for Homeowners Mortgage, the Mortgagee must refer to the requirements in the HOPE for Homeowners servicing section. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 8. Programs and Products - Refinances (04/18/2023) Handbook 4000.1 448 Last Revised: 10/31 /2023 (B) Simple Refinance (1) Borrower Eligibility (a) Occupancy Requirements (i) Standard Simple Refinance is only permissible for owner -occupied Principal or HUD -approved Secondary Residence s. (ii) Required Documentation The Mortgagee must review the Borrower s employment documentation or obtain utility bills to evidence the Borrower currently occupies the Propert y as their Principal Residence . The Mortgagee must obtain evidence that the Secondary Residence has been approved by the Jurisdictional HOC . (b) Payment History Requirements (Manually Underwritten) (i) Standard For all mortgage s on all properties with less than six months of Mortgage Payment history, the Borrower must have made all payments within the month due. For all mortgages on all properties with greater t"
Can you explain BUSINESS based on the text?,"t. All Title I Loans held by a Title I Investing Lender without servicing authority must be serviced or subserviced by a Title I Lender with a Title I Contract of Insurance and approval to service Title I Loans. e. Employee Compensation (03/14/2016 ) The Mortgagee must ensure its employees are compensated in accordance with the requirements for FHA approval. f. Conflicts of Interest (12/15/2022 ) This policy applies to all FHA -insured transactions unless otherwise specified in program requirements. Participants that have a direct impact on the mortgage approval decision are prohibited from having multiple roles or sources of compensation, either directly or indirectly, from a single FHA -insured transaction. These participants are: underwriters Appraisers inspectors engineers Indirect compensation includes any compensation resulting from the same FHA -insured transaction, other than for services performed in a direct role. Examples include, but are not limited to: I. DOING BUSINESS WITH FHA A. FHA Lenders and Mortgagees (09/20/2021) 6. Post-approval Operations Handbook 4000.1 52 Last Revised: 10/31 /2023 compensation resulting from an ownership interest in any other business that is a party to the same FHA -insured transaction; or compensation earned by a spouse, domestic partner, or other Family Member that has a direct role in the same FHA -insured transaction. The Mortgagee must ensure that participants with a direct impact on the mortgage approval decision do not have mu"
How does the document describe Closing?,"or on Existing C onstruction , the Mortgagee must also obtain an appraisal indicating the repairs or improvements to be performed. (Any work completed or materials provided before the appraisal are not eligible) For labor on New Construction , the Mortgagee must also obtain the sales contract indicating the tasks to be performed by the Borrower during construction. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 5. Manual Underwriting of the Borrower Handbook 4000.1 359 Last Revised: 10/31 /2023 (S) Trade Equity (Manual) (1) Definition Trade Equity refers to when a Borrower trades their Real Property to the seller as part of the cash investment. (2) Standard The amount of the Borrower s equity contribution is determined by : using the lesser of the Propert ys appraised value or sales price; and subtracting all liens against the Propert y being traded, along with any real estate commission. If the Propert y being traded has an FHA -insured Mortgage , assumption processing requirements and restrictions apply. (3) Required Documentation The Mortgagee must obtain a residential appraisal report complying with FHA appraisal policy to determine the Propert ys value. The Mortgagee must also obtain the Closing Disclosure or similar legal document to document the sale of the Propert y. (T) Rent Credits (Manual) (1) Definition Rent Credits refer to the amount of the rental payment that exceeds the Appraiser s estimate of fair mark"
How does the document describe mining?,"vation from changes that take place underground, including damage caused by sinkholes. (2) Standard Danger of Land Subsidence may be encountered where buildings are constructed on uncontrolled fill or unsuitable soil containing foreign matter such as a high percentage of organic material, areas of mining activity or extraction of subsurface minerals, or where the subsoil or subs urface is unstable and subject to slippage or expansion. Typical signs include fissures or cracks in the terrain, damaged foundations, sinkholes or settlement problems. (3) Required Analysis and Reporting The Appraiser must notify the Mortgagee of the deficiency of MPR or MPS if there is probable or imminent danger of Land Subsidence so that the Mortgagee can determine eligibility or the need to require the purchase of subsidence insurance. The Appraiser must analyze and report any readily observable conditions of the surface of the land that indicate potential problems from subsidence or the potential for lack of support for the surface of the land or building foundations. In mining areas, the Appraiser must analyze and report the depth or extent of mining operations and the site of operating or abandoned shafts or tunnels to determine if the danger is imminent, probable or negligible. (G) Oil or Gas Wells (1) Operating or Proposed The Appraiser must examine the site for the existence of any readily observable evidence of an oil or gas well and report the distance from the dwelling. The Appraiser mus"
What does the document say about percentage?,"/New Supply Space delivered to the market that was never previously leased or occupied by a tenant. (Synonym: Completions) NAIOP Research Foundation | Commercial Real Estate Terms and Conditions 16Occupancy Cost For a tenant, includes rent, their pro rata share of any operating costs (e.g., taxes, insurance, common area maintenance), personal property taxes and tenant insurance, and may include depreciation/amortization of tenant improvements. Occupied Space Space that is physically occupied by a tenant, subtenant or owner. Occupied space is calculated by subtracting total vacant space from total competitive inventory. If subtenant space is excluded from the calculation, then the term direct occupied space is recommended. Percentage Rent A lease with percentage rent includes a defined base rent accompanied by an obligation for the tenant to pay a percentage of sales or gross income over some predetermined amount. Often this amount is the breakpoint, but it may be a predetermined sales figure as well. (See Breakpoint .) Preleased Space Space that has been leased in a building that is under construction. Pro Rata Expense Share The percentage that a tenant pays of reimbursable expenses; usually, but not always, calculated by dividing the net rentable area of a tenants leased premises by the net rentable area of the building. Expense stops and other lease terms impact this calculation."
What are the key points mentioned about alternative?,"cts (both Title II Mortgages and Title I Loans), unless otherwise specified. A Mortgagee must fully comply with all of the following approval and eligibility requirements in order to be approved by FHA to participate in the origination, underwriting, closing, endorsement, servicing, purchasing, holding, or selling of FHA -insured Ti tle I Loans or Title II Mortgages at the time of approval and at all times after approval . The requirements outlined below in subsections 1 through 9 apply to both Single Family (one - to four-units) and Multifamily Mortgagees. If there are any exceptions or program -specific requirements that differ from those set forth below, the exceptions or alternative program requirements are explicitly stated or hyperlinked to the appropriate guida nce. Terms and acronyms used in this Handbook 4000.1 have their meanings defined in the Glossary and Acronyms and in the specific section of Handbook 4000.1 in which the definitions are located. 1. Types of Program Approvals FHA approves Mortgagees separately for participation in the Title I and Title II programs. FHA approval is conveyed to a specific legal entity and cannot be shared with or extended to other entities, such as a parent or subsidiary, or any Affiliates of the Mortgagee. a. Title I (05/09/2022 ) i. Definition A Title I Lender is a Lender that (a) holds a valid Title I Contract of Insurance and is approved by FHA to participate in the Title I program under the National Housing Act (12 U.S.C. 1703"
What are the key points mentioned about confirm?,"uance of the CO or equivalent is less than one year before closing and the Property has never been occupied. (2) Required Documentation The Mortgagee must obtain a copy of the CO or its equivalent issued by the local jurisdiction, ICC RCI, or CI. xiv. Post-closing and Endorsement (A) Settlement Statement and Settlement Certification If the HUD -1 Settlement Statement or similar legal document is provided separately, the Mortgagee must obtain from the Closing Agent a copy of the final statement provided to the seller to keep in the case binder . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 8. Programs and Products - HECM Refinance (04/29/2024) Handbook 4000.1 749 Last Revised: 10/31 /2023 (B) Form NPMA -33, Wood Destroying Insect Inspection Report The Mortgagee must confirm that the HECM file contains the National Pest Management Association (NPMA) form NPMA -33, Wood Destroying Insect Inspection Report , or the state mandated infestation report, as applicable. (C) Local Health Authoritys Approval for Individual Water and Sewer Systems The Mortgagee must confirm that the HECM file contains the Local Health Authoritys approval for Individual Water Supply System s and sewer systems, if applicable. (D) HECM for Purchase New Construction Exhibits The Mortgagee must confirm that the documentation requirements found in the HECM for Purchase product sheet are in the HECM file. b. HECM Refinance (04/29/2024) HECMs to be insur"
How does the document describe retain?,"ctures or other improvements; there is no unrepaired damage to sewer, water, or paving; the Mortgagee has applied all of the payment received as compensation for the taking of the Property to reduce the unpaid principal balance of the Mortgage; and the government action requiring conveyance occurs after insurance of the Mortgage . (2) Required Documentation (a) Claim Review File If the Mortgagee files a claim for mortgage insurance benefits, the Mortgagee must submit a certification that the requirements for partial release s of security as a result of condemnation have been met and retain a copy of the certification in the Claim Review File. (b) Reporting to HUD The Mortgagee must notify the Appropriate Homeownership Center ( HOC ) of the release by letter within 30 Days of the Mortgagees signing of the release. (B) Partial Release s, Easements, or Modification of Security Requiring HUD Approval (1) Definition Partial Release or Modification of Security is the conveyance, assignment, transfer, pledge, or encumbrance of any part of the mortgaged Property or any interest in the mortgaged Property other than a Partial Release from III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 1. Servicing of FHA -Insured Mortgages Handbook 4000.1 1173 Last Revised: 10/31 /2023 Condemnation Not Requiring HUD Approval or other title exceptions covered under the general waiver. The partial release or modification of security may be a: partial release ; c"
Can you explain MITIGATION based on the text?,"y code in the Mortgagees comments of Part A of form HUD -27011 . If locksets cannot be replaced or rekeyed or are antique or architectural locksets, the Mortgagee may utilize alternative methods to secure the door and prevent damage to the hardware or door. (ii) Exterior Doors The Mortgagee must secure all exterior doors. For exterior sliding glass doors, the Mortgagee must latch these doors and install or provide slider locks, anti -lift blocks, security bars, or another secondary security mechanism. The Mortgagee must not brace, nail shut, or otherwise block or damage the door. If no other locking mechanism exists, the Mortgagee must board/secure access doors, pet doors, and other panels providing access to basements and crawl spaces, where permitted by state or local law. (iii) Garage/Overhead Doors The Mortgagee must secure the garage or overhead doors by: using existing locksets at garage/overhead doors if they can be rekeyed to the random identical key code for the Property; securing the garage/overhead doors with a padlock and hasp if no other locking mechanism exists; repairing or replacing inoperable garage doors; and disconnecting automatic garage door openers, if present, and leaving any remote keys or transmitters securely in the Property. (iv) Outbuildings The Mortgagee must secure sheds and outbuildings by: III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 2. Default Servicing Handbook 4000.1 1325 Last Revised: 10/31 /2023"
What are the key points mentioned about Mortgagees?,"ent over all claims paid during the subject review period to determine the amount due HUD for ov erpayments. d. Frequency of Reviews (09/30/2016) HUD may review any paid claim file at any time within three years after the claim is paid. Where state Housing Finance Agencies (HFA) have settled 50 or fewer FHA mortgage insurance claims in a 12 -month period, the HFA may elect to defer the review to a biennial (occurring every two years) schedule. e. Notification to Mortgagee of Claim Review (03/27/2019 ) HUD will notify Mortgagees by letter before beginning its claims review. The Mortgagee must make available to HUD copies of identified claim files, in the format (electronic or hard copy) requested, within 24 hours of a request or such other time as permit ted by HUD. Refer to HUD Requests for Information and Missing Claim Files for additional guidance. Denial of access to a file may be grounds for enforcement action. f. HUD s Initial Report (09/30/2016) HUD will review the result of the claims review prior to the issuance of a report. After completion of the reviews, HUD will issue the initial report identifying: any discrepancies resulting from inaccuracies, omissions, missed time requirements , or unsupported claim information; the Mortgagees potential liability (potential amount owed); and whether or not the Mortgagee is in compliance with HUDs claim filing guidelines. g. Mortgagee Response Procedures to HUD s Initial Report (09/30/2016) The Mortgagee may provide any additio"
What information is provided about Judgment?,"1587, 1661 Hazard Insurance , 199, 361, 387, 390, 392, 507, 509, 510, 519, 521, 522, 526, 581, 627, 628, 629, 640, 683, 685, 692, 700, 715, 719, 723, 747, 757, 759, 760, 769, 770, 771, 772, 776, 787, 790, 799, 908, 1025, 1164, 1166, 1167, 1168, 1227, 1245, 1337, 1346, 1355, 1402, 142 6, 1448, 1454, 1457, 1461, 1462, 1463, 1469, 1473, 1474, 1500, 1501, 1502, 1533, 1551, 1579, 1580, 1587, 1601, 1604, 1607, 1609, 1610, 1758, 1759, 1760, 1761, 1762, 1763, 1764 Liability Insurance , 509, 510, 520, 521, 522, 759, 760, 770, 772, 787, 788, 790, 791, 799, 1166, 1169 Walls -In Insurance , 506, 509, 519, 521, 720, 756, 759, 769, 771, 1462 Insured HUD Real Estate Owned (REO) Property Purchase , 495, 496, 497 Interested Party Contribution , 253, 254, 261, 262, 335, 336, 343, 344, 494, 497, 744, 745, 746, 748, 967, 972, 1090, 1096, 1785 Investment Property , 126, 157, 159, 160, 166, 167, 242, 324, 442, 457, 492, 493, 498, 1024, 1025 Index Handbook 4000.1 1813 Last Revised : 10/31 /2023 Investor Buyer , 498, 499, 1629, 1645, 1647, 1648, 1654 Judgment , 203, 204, 205, 206, 253, 263, 281, 288, 289, 335, 346, 574, 576, 619, 626, 630, 704, 745, 921, 927, 967, 1045, 1051, 1090, 1098, 1256, 1259, 1348, 1371, 1593, 1601, 1605, 1607, 1659, 1660, 1665, 1666, 1671, 1672, 1678, 1681, 1682, 1686, 1708, 1772 land contract , 147, 379, 447, 566, 707, 727 Land Subsidence , 821 Land Use Restriction Addendum (LURA) , 111, 115, 1631, 1632, 1633 Late Charges , 457, 599, 718, 723, 983, 1121, 1122, 1157, 1158, 1"
What are the key points mentioned about inoperable?,", regardless of location above or below grade. d. Appliances (09/14/2015) i. Definition Appliances refer to refrigerators, ranges/ovens, dishwashers, disposals, microwaves, and washers/dryers. ii. Standard Appliances that are to remain and that contribute to the market value opinion must be operational. iii. Required Analysis and Reporting The Appraiser must note all appliances that remain and contribute to the Market Value. e. Swimming Pools (09/14/2015) The Appraiser must report readily observable defects in a noncovered pool that would render the pool inoperable or unusable. If the pool water contains algae and is aesthetically II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT D. Appraiser and Property Requirements for Title II Forward and Reverse Mortgages 3. Acceptable Appraisal Reporting Forms and Protocols (11/07/2023) Handbook 4000.1 830 Last Revised: 10/31 /2023 unappealing, but the Appraiser has no evidence that the pool is otherwise contaminated, no cleaning is required. Swimming pools must be operational to provide full Contributory Value. The Appraiser must condition the appraisal report for pools with unstable sides or structural issues to be repaired or permanently filled in accordance with local guidelines, and the surrounding land regraded if necessary. If the swimming pool has been winterized, or the Appraiser cannot determine if the pool is in working order, the Appraiser must complete the appraisal with the extraordinary assumption that the pool and its eq"
What information is provided about recorded?,"documentation, receipt of sale funds, recorded DIL, proof of eviction date, inspection IV. CLAIMS AND DISPOSITION A. Title II Claims 2. Claim Types Handbook 4000.1 1603 Last Revised : 10/31 /2023 report, and a chronology of events from the date in Item 11 to the date in Item 9. Item 10, Date deed or assignment filed for record or date of closing or appraisal: Include recorded deed or assignment, transmittal letter to recording authority, or Closing Disclosure or similar legal document. Item 11, Date foreclosure proceedings (a) Instituted or (b) Date of deed in lieu: Include documentation of first legal action taken to institute foreclosure, such as the recorded complaint, or publication of notice of sale, or the recorded DIL. Item 17, Unpaid loan balance as of date in block 8: Include copies of the mortgage Note, Loan Modification (if applicable), and payment history record. Item 19, Expiration date of extension to foreclose/assign: Include the printout from Extensions and Variances Automated Requests System (EVARS) of HUDs approval (form HUD -50012 , Mortgagees Request for Extensions of Time ) of the extension and/or supporting documentation for all automatic extensions. Item 20, Date of notice/extension to convey: Include the printout of the MCMs approval (form HUD -50012) from P260 or support for the SFLS Claim Identification Date. Item 21, Date of release of bankruptcy , if applicable: Include a copy of the bankruptcy initiation document and release notice, release of sta"
How does the document describe Lender?,be included in the qualifying ratios. Required Documentation The Lender must verify and document the promissory Note. (l) Grants (i) Disaster Relief Grants Definition Disaster Relief Grants refer to grants from a Governmental Entity that provide immediate housing assistance to individuals displaced due to a natural disaster. Disaster relief grants may be used for the Borrowers downpayment. Required Documentation The Lender must verify and document the Borrowers receipt of the grant and terms of use. Any grant of the Borrowers MCI must also comply with the additional requirements set forth in Sources of Funds for the Borrowers downpayment. (ii) Federal Home Loan Bank Homeownership Set -Aside Grant Program Standard The Federal Home Loan Banks (FHLB) Affordable Housing Program (AHP) Homeownership Set -Aside Grant Program is an acceptable source of downpayment assistance and may be used in conjunction with FHA - insured financing. Secondary financing that creates a lien against the Property is not considered a Gift or grant even if it does not require regular payments or has other features forgiving the debt. Any AHP Set -Aside funds used for the Borrowers MCI must also comply with the additional requirements set forth in Sources of Funds for the Borrowers MCI. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT E. Title I Insured Programs 4. Manufactured Home Loan Program Handbook 4000.1 1102 Last Revised: 10/31 /2023 Required Documentation The Lender must verify and document the
How does the document describe discuss?,/02/2020 ) i. Owner -Occupant Buyer s (A) Definition An Owner -Occupant Buyer is a buyer who intends to use the Property as their Principal Residence . (B) Standard A buyer may purchase HUD REO Properties as an Owner -Occupant Buyer if: they certify that they will occupy the Property as their Principal Residence for at least 12 months; and they have not purchased a HUD -owned Property within the past 24 months as an owner occupant. The selling broker must not knowingly submit the offer on behalf of a person or entity that is not an Owner -Occupant Buyer and must discuss the penalties for false certification with the buyer. The buyer and selling broker must sign a Purchase Addendum for Individual Owner - Occupant Buyer s certifying to the above conditions. IV. CLAIMS AND DISPOSITION B. Title II Disposition 2. REO Property Disposition Handbook 4000.1 1629 Last Revised : 10/31 /2023 Buyers using FHA -insured financing must begin their owner -occupancy terms as stated in FHA Requirement for Owner Occupanc y. Buyers purchasing under the Good Neighbor Next Door (GNND) Sales Program must begin their owner - occupancy terms as stated in Owner -Occupancy Term . (C) Required Documentation The Owner -Occupant Buyer and selling broker must complete and submit with their offer a Purchase Addendum for Individual Owner -Occupant Buyers. ii. Investor Buyer s An Investor Buyer is a buyer who will not occupy the HUD REO Property as their Principal Residence . iii. Good Neighbor Next Door Parti
Can you explain missing based on the text?,"der knew or should have known . Indemnification - Life-of-Loan 2 FHA is unable to determine loan -level compliance with operational policies and procedures due to absence of required information/documentation. FHA is able to conclude that the loan is uninsurable due to noncompliance with operational policies and procedures based on documentation in the loan file. Mitigating Documentation OR Refund Allowed to remedy related violations unless FHA policy specifically prohibits post -endorsement refunds OR Indemnification Forward - 5 Year HECM - Life-of-Loan Deficient 3 Compliance errors, inconsistencies, or missing information related to operational policies and procedures, but sufficient documentation/information exists to substantiate approval. 4 Minor data integrity errors or inconsistencies between TOTAL Scorecard, loan documentation and/or FHA but when corrected, TOTAL risk assessment remains Accept and approval is otherwise validated. Evidence of fraudulent or materially misrepresented information about which the lender did not know and could not have known . Appendix 9.0 - Assumed Loan Periods for Computations of Total Annual Loan Cost Rates (04/29/2024) Handbook 4000.1 1799 Last Revised : 10/31 /2023 APPENDIX 9.0 - ASSUMED LOAN PERIODS FOR COMPUTATIONS OF TOTAL ANNUAL LOAN COST RATE S (04/29/2024) a) Required tables. In calculating the total annual loan cost rates, creditors shall assume three loan periods, as determined by the following table. b) Loan periods. 1) Loan P"
